cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Chardonnay blanc,Thézac-Perricard blanc,IGP,Blanc,Sud-ouest
Petit Meslier blanc,Coteaux champenois rosé,AOC/AOP,Rosé,Champagne
Poulsard noir,Macvin du Jura rouge,AOC/AOP,Rouge,Jura
Chardonnay blanc,Nuits-Saint-Georges premier cru blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Champagne grand cru,AOC/AOP,Blanc,Champagne
Grenache gris,Maury ambré hors d'age,AOC/AOP,Blanc,Languedoc-roussillon
Cot noir,Pays d'Oc gris de gris,IGP,Gris,Languedoc-roussillon
Pinot noir,Gevrey-Chambertin premier cru Les Cazetiers,AOC/AOP,Rouge,Bourgogne
Pinot noir,Atlantique rouge,IGP,Rouge,Bordeaux
Syrah noir,Languedoc Pézenas,AOC/AOP,Rouge,Languedoc-roussillon
Sauvignon blanc,Atlantique blanc,IGP,Blanc,Bordeaux
Muscat à petits grains blanc,Alsace grand cru rangen vendanges tardives muscat,AOC/AOP,Blanc,Alsace
Riesling blanc,Alsace grand cru Altenberg de Bergbieten vendanges tardives Riesling,AOC/AOP,Blanc,Alsace
Muscat à petits grains blanc,Alsace grand cru Altenberg de Wolxheim vendanges tardives Muscat,AOC/AOP,Blanc,Alsace
Muscat Ottonel blanc,Alsace grand cru ollwiller grains nobles muscat,AOC/AOP,Blanc,Alsace
Cinsaut noir,Pays d'Oc gris de raisins surmûris,IGP,Gris,Languedoc-roussillon
Pinot noir,Gevrey-Chambertin premier cru Aux Combottes,AOC/AOP,Rouge,Bourgogne
Sémillon blanc,Pineau des Charentes blanc,AOC/AOP,Blanc,Cognac
Chenin blanc,Savennières Roche aux Moines,AOC/AOP,Blanc,Loire
Grassen noir,Périgord rosé,IGP,Rosé,Bordeaux
Mondeuse noir,Vin de Savoie Arbin,AOC/AOP,Rouge,Savoie bugey
Maréchal Foch noir,Côtes de Thau rosé,IGP,Rosé,Languedoc-roussillon
