cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Mourvèdre noir,Côtes du Roussillon Villages,AOC/AOP,Rouge,Languedoc-roussillon
Syrah noir,Ventoux nouveau rosé,AOC/AOP,Rosé,Rhône
Chasan blanc,Pays d'Oc blanc de raisins surmûris,IGP,Blanc,Languedoc-roussillon
Muscat à petits grains blanc,Cité de Carcassonne blanc,IGP,Blanc,Languedoc-roussillon
Pinot noir,Pommard premier cru Les Rugiens Hauts,AOC/AOP,Rouge,Bourgogne
Gamay noir,Côtes d'Auvergne Corent rosé,AOC/AOP,Rosé,Loire
Chardonnay blanc,Mâcon Loché blanc,AOC/AOP,Blanc,Bourgogne
Riesling blanc,Alsace grand cru moenchberg vendanges tardives riesling,AOC/AOP,Blanc,Alsace
Roussanne blanc,Saint-Péray,AOC/AOP,Blanc,Rhône
Chardonnay blanc,Calvados blanc,IGP,Blanc,Loire
Tannat noir,Floc de Gascogne rosé,AOC/AOP,Rosé,Armagnac
Pinot noir,Rully premier cru Margotés rouge,AOC/AOP,Rouge,Bourgogne
Cot noir,Saint-Emilion grand cru Premier grand cru classé,AOC/AOP,Rouge,Bordeaux
Meunier noir,Périgord rouge,IGP,Rouge,Bordeaux
Tourbat blanc,Maury ambré rancio,AOC/AOP,Rancio,Languedoc-roussillon
Gewurztraminer rosé,Alsace grand cru Altenberg de Bergheim,AOC/AOP,Blanc,Alsace
Cabernet-Franc noir,Pays d'Oc gris,IGP,Gris,Languedoc-roussillon
Gamay noir,Mâcon Burgy rouge,AOC/AOP,Rouge,Bourgogne
Pinot blanc,Beaune premier cru Pertuisots blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Mercurey premier cru Le Clos l'Evêque rouge,AOC/AOP,Rouge,Bourgogne
Grenache blanc,Banyuls ambré rancio,AOC/AOP,Blanc,Languedoc-roussillon
Gamay noir,Franche-Comté rouge,IGP,Rouge,Jura
Merlot noir,Côtes de Duras rosé,AOC/AOP,Rosé,Sud-ouest
Morrastel noir,Pays d'Oc rouge,IGP,Rouge,Languedoc-roussillon
Muscat à petits grains rosé,Alsace grand cru Altenberg de Wolxheim Muscat,AOC/AOP,Blanc,Alsace
Muscat Ottonel blanc,Alsace grand cru Florimont vendanges tardives Muscat,AOC/AOP,Blanc,Alsace
Riesling blanc,Alsace grand cru hengst vendanges tardives riesling,AOC/AOP,Blanc,Alsace
Morrastel noir,Pays d'Oc rosé mousseux,IGP,Rosé,Languedoc-roussillon
Chardonnay blanc,Crémant de Bourgogne blanc,AOC/AOP,Blanc,Bourgogne
Mourvèdre noir,Languedoc La Méjanelle rouge,AOC/AOP,Rouge,Languedoc-roussillon
Cinsaut noir,Coteaux de Peyriac rouge,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Chablis premier cru Montée de Tonnerre,AOC/AOP,Blanc,Bourgogne
Noir Fleurien noir,Périgord Vin de Domme rosé,IGP,Rouge,Bordeaux
Muscat à petits grains rouges noir,Muscat de Beaumes-de-Venise rosé,AOC/AOP,Rosé,Rhône
Chardonnay blanc,Sable de Camargue blanc sur lie,IGP,Blanc,Languedoc-roussillon
Pinot blanc,Beaune premier cru Clos de la Feguine blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Saint-Aubin premier cru Les Cortons blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Rully premier cru La Bressande blanc,AOC/AOP,Blanc,Bourgogne
Muscat d’Alexandrie blanc,Sable de Camargue blanc mousseux,IGP,Blanc,Languedoc-roussillon
Cabernet-Sauvignon noir,Ariège rosé,IGP,Rosé,Languedoc-roussillon
Pinot noir,Puy-de-Dôme rouge,IGP,Rouge,Loire
Pinot noir,Bugey mousseux rosé,AOC/AOP,Rosé,Savoie bugey
Gringet blanc,Vin de Savoie Ayze mousseux,AOC/AOP,Blanc,Savoie bugey
Cinsaut noir,Côtes du Lot rouge,IGP,Rouge,Sud-ouest
Ségalin noir,Agenais Rosé Mousseux,IGP,Rosé,Sud-ouest
Pinot noir,Givry premier cru Le Pied du Clou rouge,AOC/AOP,Rouge,Bourgogne
Riesling blanc,Alsace grand cru kastelberg vendanges tardives riesling,AOC/AOP,Blanc,Alsace
Cabernet-Sauvignon noir,Agenais rosé,IGP,Rosé,Sud-ouest
Gamay noir,Périgord rouge,IGP,Rouge,Bordeaux
Grenache noir,Ventoux nouveau rouge,AOC/AOP,Rouge,Rhône
Gewurztraminer rosé,Pays d'Oc gris de gris,IGP,Gris,Languedoc-roussillon
Muscat à petits grains rosé,Alsace grand cru winzenberg grains nobles muscat,AOC/AOP,Blanc,Alsace
Pinot noir,Pommard premier cru Le Village,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Aloxe-Corton premier cru La Maréchaude blanc,AOC/AOP,Blanc,Bourgogne
Altesse blanc,Roussette du Bugey Montagnieu,AOC/AOP,Blanc,Savoie bugey
Ravat blanc blanc,Côtes de Thongue rouge,IGP,Rouge,Languedoc-roussillon
Muscat Ottonel blanc,Alsace grand cru Froehn sélection de grains nobles Muscat,AOC/AOP,Blanc,Alsace
Ségalin noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Syrah noir,Grignan-les-Adhémar rouge,AOC,Rouge,Rhône
Pinot noir,Morey-Saint-Denis premier cru La Riotte rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Viré-Clessé le creuseromme,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Chablis premier cru Vaillons,AOC/AOP,Blanc,Bourgogne
Gewurztraminer rosé,Alsace grand cru sommerberg gewurztraminer,AOC/AOP,Blanc,Alsace
Petit Verdot noir,Périgord rosé,IGP,Rosé,Bordeaux
Tourbat blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Pinot noir,Saint-Aubin premier cru Le Bas de Gamay à l'Est rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Givry premier cru Le Paradis rouge,AOC/AOP,Rouge,Bourgogne
Pinot blanc,Chassagne-Montrachet premier cru Vide Bourse blanc,AOC/AOP,Blanc,Bourgogne
Maréchal Foch noir,Côtes du Brian rouge,IGP,Rouge,Languedoc-roussillon
Pinot blanc,Chassagne-Montrachet premier cru Les Boirettes blanc,AOC/AOP,Blanc,Bourgogne
Sauvignon gris,Puy-de-Dôme rosé,IGP,Rosé,Loire
Gamay noir,Mâcon Chardonnay rosé,AOC/AOP,Rosé,Bourgogne
Bouquettraube blanc,Périgord blanc,IGP,Blanc,Bordeaux
Syrah noir,Isère rouge,IGP,Rouge,Savoie bugey
Arbane blanc,Champagne blanc,AOC/AOP,Blanc,Champagne
Aramon gris,Périgord rouge,IGP,Rouge,Bordeaux
Chardonnay blanc,Chablis premier cru Les Lys,AOC/AOP,Blanc,Bourgogne
Merlot noir,Aveyron rouge,IGP,Rouge,Sud-ouest
Cabernet-Franc noir,Saint-Emilion grand cru,AOC/AOP,Rouge,Bordeaux
Brachet noir,Périgord rosé,IGP,Rosé,Bordeaux
Gewurztraminer rosé,Alsace grand cru rangen vendanges tardives gewurztraminer,AOC/AOP,Blanc,Alsace
Mondeuse noir,Pays d'Oc rouge mousseux,IGP,Rouge,Languedoc-roussillon
Mourvèdre noir,Languedoc nouveau rouge,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Beaune premier cru La Mignotte rouge,AOC/AOP,Rouge,Bourgogne
Verdelho blanc,Coteaux d'Ensérune rosé,IGP,Rosé,Languedoc-roussillon
Vermentino blanc,Pays d'Oc blanc sur lie,IGP,Blanc,Languedoc-roussillon
Chardonnay blanc,Meursault premier cru blanc,AOC/AOP,Blanc,Bourgogne
Macabeu blanc,Maury ambré rancio hors d'âge,AOC/AOP,Rancio,Languedoc-roussillon
Grenache gris,Cité de Carcassonne rosé,IGP,Rosé,Languedoc-roussillon
Chardonnay blanc,Montagny premier cru Les Coudrettes,AOC/AOP,Blanc,Bourgogne
Muscat à petits grains rosé,Alsace grand cru zinnkoepfle grains nobles muscat,AOC/AOP,Blanc,Alsace
Persan noir,Atlantique rosé,IGP,Rosé,Bordeaux
Pinot gris,Alsace grand cru Altenberg de Bergheim,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Nuits-Saint-Georges premier cru Les Saints-Georges blanc,AOC/AOP,Blanc,Bourgogne
Mauzac rosé,Gaillac premières côtes,AOC/AOP,Blanc,Sud-ouest
Valérien blanc,Coteaux d'Ensérune blanc,IGP,Blanc,Languedoc-roussillon
Abouriou noir,Agenais rosé,IGP,Rosé,Sud-ouest
Pinot gris,Alsace grand cru Eichberg sélection de grains nobles Pinot gris,AOC/AOP,Blanc,Alsace
Cabernet-Franc noir,Comté Tolosan rosé,IGP,Rosé,Armagnac
Gouget noir,Atlantique rosé,IGP,Rosé,Bordeaux
Muscat à petits grains rosé,Alsace grand cru Bruderthal sélection de grains nobles Muscat,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Viré-Clessé le chapitre,AOC/AOP,Blanc,Bourgogne
Clairette rosé,Pays d'Oc gris de raisins gris surmûris,IGP,Gris,Languedoc-roussillon
Tannat noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Mancin noir,Atlantique rosé,IGP,Rosé,Bordeaux
Gewurztraminer rosé,Alsace grand cru Altenberg de Bergbieten vendanges tardives Gewurztraminer,AOC/AOP,Blanc,Alsace
Grenache blanc,Rasteau tuilé rancio,AOC/AOP,Tuilé,Rhône
Len de l’El blanc,Gaillac vendanges tardives,AOC/AOP,Blanc,Sud-ouest
Chasselas blanc,Vin de Savoie Ripaille,AOC/AOP,Blanc,Savoie bugey
Carmenère noir,Périgord rouge,IGP,Rouge,Bordeaux
Pinot gris,Alsace grand cru gloeckelberg vendanges tardives pinot gris,AOC/AOP,Blanc,Alsace
Gewurztraminer rosé,Pays d'Oc rosé,IGP,Rosé,Languedoc-roussillon
Landal noir,Côtes de Thongue rosé,IGP,Rosé,Languedoc-roussillon
Muscat à petits grains blanc,Alsace grand cru geisberg muscat,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Chablis premier cru Côte de Savant,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Haute-Vienne rouge,IGP,Rouge,Loire
Merlot noir,Cité de Carcassonne rosé,IGP,Rosé,Languedoc-roussillon
Précoce de Malingre blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Cot noir,Coteaux de Peyriac rouge,IGP,Rouge,Languedoc-roussillon
Cot noir,Côtes du Tarn rouge,IGP,Rouge,Sud-ouest
Pinot noir,Clos de Tart,AOC/AOP,Rouge,Bourgogne
Villard noir,Coteaux des Baronnies blanc,IGP,Blanc,Rhône
Portan noir,Pays d'Oc rosé sur lie,IGP,Rosé,Languedoc-roussillon
Pinot noir,Saint-Aubin premier cru Derrière Chez Edouard rouge,AOC/AOP,Rouge,Bourgogne
Mondeuse noir,Pays d'Oc gris de gris,IGP,Gris,Languedoc-roussillon
Pinot noir,Meursault premier cru Perrières rouge,AOC/AOP,Rouge,Bourgogne
Riesling blanc,Alsace grand cru Froehn Riesling,AOC/AOP,Blanc,Alsace
Muscat à petits grains blanc,Alsace grand cru wiebelsberg muscat,AOC/AOP,Blanc,Alsace
Macabeu blanc,Grand Roussillon rouge,AOC/AOP,Rouge,Languedoc-roussillon
Piquepoul noir,Châteauneuf-du-Pape rouge,AOC/AOP,Rouge,Rhône
Parellada blanc,Vallée du Paradis rouge,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Nuits-Saint-Georges premier cru Les Crots blanc,AOC/AOP,Blanc,Bourgogne
Ugni blanc,Coteaux varois en Provence blanc,AOC/AOP,Blanc,Provence-corse
Grenache noir,Côtes du Roussillon Villages Tautavel,AOC/AOP,Rouge,Languedoc-roussillon
Clairette blanc,Côtes du Rhône Villages Saint-Maurice blanc,AOC/AOP,Blanc,Rhône
Riesling blanc,Alsace grand cru Altenberg de Wolxheim sélection de grains nobles Riesling,AOC/AOP,Blanc,Alsace
Valérien blanc,Drôme rouge,IGP,Rouge,Rhône
Cabernet-Sauvignon noir,Sable de Camargue gris sur lie,IGP,Gris,Languedoc-roussillon
Pinot noir,Beaune premier cru Belissand rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Sauvignon noir,Vins de la Corrèze rosé,IGP,Rosé,Sud-ouest
Chardonnay blanc,Mercurey premier cru blanc,AOC/AOP,Blanc,Bourgogne
Pascal blanc,Périgord blanc,IGP,Blanc,Bordeaux
Petit Verdot noir,Bordeaux rosé,AOC/AOP,Rosé,Bordeaux
Seyval blanc,Drôme blanc,IGP,Blanc,Rhône
Valérien blanc,Vicomté d'Aumelas rosé,IGP,Rosé,Languedoc-roussillon
Cabernet-Franc noir,Neac,AOC/AOP,Rouge,Bordeaux
Gamay noir,Beaujolais Charentay rosé nouveau,AOC/AOP,Rosé,Beaujolais
Piquepoul noir,Corbières rosé,AOC/AOP,Rosé,Languedoc-roussillon
Pinot blanc,Beaune premier cru A l'Ecu blanc,AOC/AOP,Blanc,Bourgogne
Sémillon blanc,Pays d'Oc blanc mousseux,IGP,Blanc,Languedoc-roussillon
Mauzac blanc,Côtes de Gascogne blanc,IGP,Blanc,Sud-ouest
Varousset noir,Méditerranée blanc,IGP,Blanc,Provence-corse
Gewurztraminer rosé,Alsace grand cru gloeckelberg grains nobles gewurztraminer,AOC/AOP,Blanc,Alsace
Verdelho blanc,Côtes du Brian blanc,IGP,Blanc,Languedoc-roussillon
Chardonnay blanc,Santenay premier cru Clos Faubard blanc,AOC/AOP,Blanc,Bourgogne
Muscat à petits grains rouges noir,Pays d'Oc rosé,IGP,Rosé,Languedoc-roussillon
Villard noir,Cévennes blanc,IGP,Blanc,Languedoc-roussillon
Syrah noir,Ventoux rosé,AOC/AOP,Rosé,Rhône
Pinot blanc,Beaune premier cru Clos Saint-Landry blanc,AOC/AOP,Blanc,Bourgogne
Verdelho blanc,Côtes Catalanes blanc,IGP,Blanc,Languedoc-roussillon
Mondeuse blanche blanc,Vin de Savoie pétillant rosé,AOC/AOP,Rosé,Savoie bugey
Fer-servadou noir,Coteaux de Glanes rouge,IGP,Rouge,Sud-ouest
Pinot blanc,Pernand-Vergelesses premier cru Les Fichots blanc,AOC/AOP,Blanc,Bourgogne
Grenache blanc,Périgord blanc,IGP,Blanc,Bordeaux
Gros Manseng blanc,Irouléguy blanc,AOC/AOP,Blanc,Sud-ouest
Pineau d'Aunis noir,Coteaux du Vendômois rouge,AOC/AOP,Rouge,Loire
Caladoc noir,Périgord rosé,IGP,Rosé,Bordeaux
Pinot blanc,Chassagne-Montrachet premier cru Les Combards blanc,AOC/AOP,Blanc,Bourgogne
Aubun noir,Périgord rouge,IGP,Rouge,Bordeaux
Chardonnay blanc,Charlemagne,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Rully premier cru Montpalais blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Mâcon Pierreclos blanc nouveau,AOC/AOP,Blanc,Bourgogne
Précoce Bousquet blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Muscat à petits grains blanc,Alsace grand cru steingrubler vendanges tardives muscat,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Chablis premier cru Vaulorent,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Haut-Poitou rosé,AOC/AOP,Rosé,Loire
Syrah noir,Languedoc Saint-Georges-d'Orques rosé,AOC/AOP,Rosé,Languedoc-roussillon
Chardonnay blanc,Santenay premier cru Passetemps blanc,AOC/AOP,Blanc,Bourgogne
Gamaret noir,Calvados rouge,IGP,Rouge,Loire
Gamay noir,Beaujolais Montmelas-Saint-Sorlin rouge nouveau,AOC/AOP,Rouge,Beaujolais
Alvarinho blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Clairette blanc,Languedoc La Clape blanc,AOC/AOP,Blanc,Languedoc-roussillon
Muscat d’Alexandrie blanc,Sable de Camargue blanc sur lie,IGP,Blanc,Languedoc-roussillon
Muscat à petits grains rosé,Alsace grand cru kirchberg de barr vendanges tardives muscat,AOC/AOP,Blanc,Alsace
Pinot gris,Coteaux de l'Auxois blanc,IGP,Blanc,Bourgogne
Muscat à petits grains rosé,Alsace grand cru rangen grains nobles muscat,AOC/AOP,Blanc,Alsace
Gewurztraminer rosé,Alsace grand cru Engelberg sélection de grains nobles Gewurztraminer,AOC/AOP,Blanc,Alsace
Mourvèdre noir,Palette rouge,AOC/AOP,Rouge,Provence-corse
Chardonnay blanc,Givry premier cru Clos-Saint-Pierre blanc,AOC/AOP,Blanc,Bourgogne
Muscat Ottonel blanc,Alsace blanc Muscat Ottonel,AOC/AOP,Blanc,Alsace
Verdelho blanc,Coteaux d'Ensérune rouge,IGP,Rouge,Languedoc-roussillon
Merlot noir,Périgord Vin de Domme rosé,IGP,Rouge,Bordeaux
Tempranillo noir,Pays d'Oc gris de raisins gris surmûris,IGP,Gris,Languedoc-roussillon
Sauvignon gris,Périgord blanc,IGP,Blanc,Bordeaux
Chardonnay blanc,Beaune premier cru Sur les Grèves - Clos Saint-Anne blanc,AOC/AOP,Blanc,Bourgogne
Muscat Ottonel blanc,Alsace grand cru moenchberg muscat,AOC/AOP,Blanc,Alsace
Verdelho blanc,Côtes de Thongue rosé,IGP,Rosé,Languedoc-roussillon
Muscat à petits grains rosé,Alsace grand cru kanzlerberg grains nobles muscat,AOC/AOP,Blanc,Alsace
Gamay noir,Bugey mousseux rosé,AOC/AOP,Rosé,Savoie bugey
Tannat noir,Côtes du Lot rouge,IGP,Rouge,Sud-ouest
Grenache gris,Pays d'Oc blanc,IGP,Blanc,Languedoc-roussillon
Aubin vert blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Pinot blanc,Nuits-Saint-Georges premier cru Les Cailles blanc,AOC/AOP,Blanc,Bourgogne
Gewurztraminer rosé,Alsace grand cru zinnkoepfle gewurztraminer,AOC/AOP,Blanc,Alsace
Seinoir noir,Mont Caume rosé,IGP,Rosé,Provence-corse
Aligoté blanc,Bourgogne aligoté nouveau,AOC/AOP,Blanc,Bourgogne
Gewurztraminer rosé,Alsace grand cru muenchberg gewurztraminer,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Montagny premier cru Les Garchères,AOC/AOP,Blanc,Bourgogne
Chenin blanc,Vouvray pétillant,AOC/AOP,Blanc,Loire
Pinot noir,Volnay premier cru En Chevret,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Sable de Camargue rosé sur lie,IGP,Rosé,Languedoc-roussillon
Viognier blanc,Côtes du Rhône Villages Saint-Gervais blanc,AOC/AOP,Blanc,Rhône
Syrah noir,Collioure rosé,AOC/AOP,Rosé,Languedoc-roussillon
Pinot blanc,Morey-Saint-Denis premier cru Les Millandes blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Chablis Grand Cru Valmur,AOC/AOP,Blanc,Bourgogne
Gamay noir,Estaing rouge,AOC/AOP,Rouge,Sud-ouest
Sauvignon blanc,Graves de Vayres blanc sec,AOC/AOP,Blanc,Bordeaux
Roussanne blanc,Faugères blanc,AOC/AOP,Blanc,Languedoc-roussillon
Pinot noir,Mercurey premier cru Les Ruelles rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Sable de Camargue rosé sur lie,IGP,Rosé,Languedoc-roussillon
Gamaret noir,Calvados rosé,IGP,Rosé,Loire
Sauvignon blanc,Haute Vallée de l'Aude blanc,IGP,Blanc,Languedoc-roussillon
Cabernet-Franc noir,Touraine rouge,AOC/AOP,Rouge,Loire
Chambourcin noir,Ardèche rosé,IGP,Rosé,Rhône
Cardinal rouge,Coteaux de l'Ain rosé,IGP,Rosé,Savoie bugey
Gewurztraminer rosé,Alsace grand cru kanzlerberg gewurztraminer,AOC/AOP,Blanc,Alsace
Parellada blanc,Pays d'Hérault rouge,IGP,Rouge,Languedoc-roussillon
Muscat à petits grains blanc,Alsace grand cru Froehn Muscat,AOC/AOP,Blanc,Alsace
Gros Manseng blanc,Floc de Gascogne blanc,AOC/AOP,Blanc,Armagnac
Savagnin blanc,L'Etoile vin de paille,AOC/AOP,Blanc,Jura
Chasan blanc,Pays d'Oc blanc nouveau,IGP,Blanc,Languedoc-roussillon
Roussanne blanc,Hermitage blanc,AOC/AOP,Blanc,Rhône
Couderc noir,Var blanc,IGP,Blanc,Provence-corse
Pinot gris,Puy-de-Dôme blanc,IGP,Blanc,Loire
Chardonnay blanc,Beaune premier cru Montée Rouge rouge,AOC/AOP,Rouge,Bourgogne
Joubertin noir,Atlantique rosé,IGP,Rosé,Bordeaux
Pinot noir,Nuits-Saint-Georges premier cru Aux Thorey rouge,AOC/AOP,Rouge,Bourgogne
Muscat Ottonel blanc,Alsace grand cru rosacker vendanges tardives muscat,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Mâcon Vinzelles blanc,AOC/AOP,Blanc,Bourgogne
Couston noir,Drôme blanc,IGP,Blanc,Rhône
Pinot blanc,Monthélie premier cru Les Riottes blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Beaune premier cru Blanches Fleurs blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Vin de Corse Coteaux du Cap Corse rouge,AOC/AOP,Rouge,Provence-corse
Sémillon blanc,Côtes de Montravel,AOC/AOP,Blanc,Sud-ouest
Chardonnay blanc,Chassagne-Montrachet premier cru En Remilly blanc,AOC/AOP,Blanc,Bourgogne
Carmenère noir,Périgord rosé,IGP,Rosé,Bordeaux
Altesse blanc,Pays d'Oc blanc,IGP,Blanc,Languedoc-roussillon
Syrah noir,Hermitage rouge,AOC/AOP,Rouge,Rhône
Perdea blanc,Atlantique blanc,IGP,Blanc,Bordeaux
Grenache noir,Costières de Nîmes rouge,AOC/AOP,Rouge,Rhône
Syrah noir,Languedoc Sommières,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Mercurey premier cru Le Clos du Roy rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Volnay premier cru Les Mitans,AOC/AOP,Rouge,Bourgogne
Riesling blanc,Alsace grand cru steinklotz vendanges tardives riesling,AOC/AOP,Blanc,Alsace
Parellada blanc,Gers rouge,IGP,Rouge,Sud-ouest
Gamaret noir,Périgord rouge,IGP,Rouge,Bordeaux
Muscat à petits grains rosé,Alsace grand cru Altenberg de Bergbieten Muscat,AOC/AOP,Blanc,Alsace
Savagnin blanc,Côtes du Jura blanc,AOC/AOP,Blanc,Jura
Cinsaut noir,Atlantique rosé,IGP,Rosé,Bordeaux
Pinot noir,Côtes du Jura rosé,AOC/AOP,Rosé,Jura
Pinot blanc,Nuits-Saint-Georges premier cru Rue de Chaux blanc,AOC/AOP,Blanc,Bourgogne
Merlot noir,Atlantique rouge,IGP,Rouge,Bordeaux
Négrette noir,Fiefs Vendéens Brem rouge,AOC/AOP,Rouge,Loire
Muscadelle blanc,Cadillac,AOC/AOP,Blanc,Bordeaux
Knipperlé blanc,Périgord blanc,IGP,Blanc,Bordeaux
Pinot noir,Cheverny rosé,AOC/AOP,Rosé,Loire
Pinot blanc,Chassagne-Montrachet premier cru Les Brussonnes blanc,AOC/AOP,Blanc,Bourgogne
Cot noir,Pays d'Oc rouge,IGP,Rouge,Languedoc-roussillon
Grolleau noir,Anjou mousseux rosé,AOC/AOP,Rosé,Loire
Pinot noir,Vosne-Romanée premier cru,AOC/AOP,Rouge,Bourgogne
Syrah noir,Pays d'Oc gris mousseux,IGP,Gris,Languedoc-roussillon
Pinot noir,Gevrey-Chambertin premier cru Craipillot,AOC/AOP,Rouge,Bourgogne
Villard noir,Côte Vermeille blanc,IGP,Blanc,Languedoc-roussillon
Cabernet-Franc noir,Rosé de Loire,AOC/AOP,Rosé,Loire
Cinsaut noir,Côtes du Tarn rosé,IGP,Rosé,Sud-ouest
Gewurztraminer rosé,Alsace grand cru Bruderthal sélection de grains nobles Gewurztraminer,AOC/AOP,Blanc,Alsace
Muscat à petits grains blanc,Alsace grand cru kessler muscat,AOC/AOP,Blanc,Alsace
Grolleau gris gris,Rosé d'Anjou,AOC/AOP,Rosé,Loire
Perdea blanc,Périgord blanc,IGP,Blanc,Bordeaux
Pinot noir,Chambolle-Musigny premier cru Les Gruenchers,AOC/AOP,Rouge,Bourgogne
Pinot gris,Pays d'Oc gris de raisins surmûris,IGP,Gris,Languedoc-roussillon
Arriloba blanc,Agenais Blanc Mousseux,IGP,Blanc,Sud-ouest
Ravat blanc blanc,Ardèche blanc,IGP,Blanc,Rhône
Chambourcin noir,Landes rosé,IGP,Rosé,Armagnac
Grolleau gris gris,Saumur mousseux rosé,AOC/AOP,Rosé,Loire
Clairette blanc,Périgord Vin de Domme blanc,IGP,Blanc,Bordeaux
Cabernet-Sauvignon noir,Rosé d'Anjou,AOC/AOP,Rosé,Loire
Marsanne blanc,Pays d'Oc blanc mousseux,IGP,Blanc,Languedoc-roussillon
Petit Verdot noir,Moulis,AOC/AOP,Rouge,Bordeaux
Landal noir,Coteaux d'Ensérune rosé,IGP,Rosé,Languedoc-roussillon
Muscat à petits grains rouges noir,Pays d'Oc gris de raisins surmûris,IGP,Gris,Languedoc-roussillon
Aligoté blanc,Morey-Saint-Denis premier cru Monts Luisants blanc,AOC/AOP,Blanc,Bourgogne
Pineau d'Aunis noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Trousseau noir,Arbois rouge,AOC/AOP,Rouge,Jura
Gewurztraminer rosé,Alsace grand cru zinnkoepfle grains nobles gewurztraminer,AOC/AOP,Blanc,Alsace
Gamay noir,Mâcon La Roche-Vineuse rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Meursault premier cru Les Cras blanc,AOC/AOP,Blanc,Bourgogne
Macabeu blanc,Maury ambré,AOC/AOP,Blanc,Languedoc-roussillon
Pinot noir,Fiefs Vendéens Pissotte rosé,AOC/AOP,Rosé,Loire
Muscat Ottonel blanc,Alsace grand cru pfersigberg muscat,AOC/AOP,Blanc,Alsace
Fer-servadou noir,Comté Tolosan rouge,IGP,Rouge,Armagnac
Cabernet-Sauvignon noir,Côtes du Marmandais rosé,AOC/AOP,Rosé,Sud-ouest
Pinot gris,Alsace grand cru Engelberg Pinot gris,AOC/AOP,Blanc,Alsace
Chardonnay blanc,Ladoix premier cru Basses Mourottes blanc,AOC/AOP,Blanc,Bourgogne
Monerac noir,Atlantique rouge,IGP,Rouge,Bordeaux
Chardonnay blanc,Aloxe-Corton premier cru Clos des Maréchaudes blanc,AOC/AOP,Blanc,Bourgogne
Castets noir,Périgord rosé,IGP,Rosé,Bordeaux
Maréchal Foch noir,Pays d'Hérault rosé,IGP,Rosé,Languedoc-roussillon
Grenache noir,Côtes du Rhône Villages rouge,AOC/AOP,Rouge,Rhône
Cabernet-Franc noir,Bordeaux rosé,AOC/AOP,Rosé,Bordeaux
Gewurztraminer rosé,Alsace grand cru gloeckelberg gewurztraminer,AOC/AOP,Blanc,Alsace
Pinot noir,Saint-Aubin premier cru Le Charmois rouge,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Côtes du Tarn blanc,IGP,Blanc,Sud-ouest
Pinot noir,Vosne-Romanée premier cru Aux Malconsorts,AOC/AOP,Rouge,Bourgogne
Merlot noir,Cabardès rouge,AOC/AOP,Rouge,Languedoc-roussillon
Chardonnay blanc,Chassagne-Montrachet premier cru Chassagne blanc,AOC/AOP,Blanc,Bourgogne
Chenin blanc,Côtes de Duras blanc sec,AOC/AOP,Blanc,Sud-ouest
Gamay noir,Lavilledieu Rouge,IGP,Rouge,Sud-ouest
Ravat blanc blanc,Côtes de Thau rouge,IGP,Rouge,Languedoc-roussillon
Gewurztraminer rosé,Alsace grand cru Froehn vendanges tardives Gewurztraminer,AOC/AOP,Blanc,Alsace
Léon Millot noir,Coteaux des Baronnies rouge,IGP,Rouge,Rhône
