cepage-link,appellation-nom,appellation-type,appellation-couleur,appellation-vignoble
Gamay noir,Coteaux du Cher et de l'Arnon rouge,IGP,Rouge,Loire
Pinot noir,Pernand-Vergelesses premier cru En Caradeux rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Rully premier cru blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Morey-Saint-Denis premier cru Les Faconnières rouge,AOC/AOP,Rouge,Bourgogne
Grenache noir,Grand Roussillon rancio,AOC/AOP,Rancio,Languedoc-roussillon
Pinot noir,Givry premier cru Clos Jus rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Coteaux de Tannay blanc,IGP,Blanc,Bourgogne
Pinot noir,Savigny-lès-Beaune rouge,AOC/AOP,Rouge,Bourgogne
Merlot noir,Lussac-Saint-Emilion,AOC/AOP,Rouge,Bordeaux
Pinot noir,Volnay premier cru Le Ronceret,AOC/AOP,Rouge,Bourgogne
Pinot noir,Côtes de Gascogne rosé,IGP,Rosé,Sud-ouest
Gamay noir,Saône-et-Loire rosé,IGP,Rosé,Bourgogne
Chardonnay blanc,Viré-Clessé la troupe,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Montagny premier cru Les Bouchots,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Mercurey premier cru Les Fourneaux blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru En Cailleret blanc,AOC/AOP,Blanc,Bourgogne
Chenin blanc,Pays d'Oc blanc de raisins surmûris,IGP,Blanc,Languedoc-roussillon
Chardonnay blanc,Beaune premier cru Les Tuvilains blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Beaune premier cru Les Perrières rouge,AOC/AOP,Rouge,Bourgogne
Merlot noir,Thézac-Perricard rouge,IGP,Rouge,Sud-ouest
Chenin blanc,Fiefs Vendéens Mareuil blanc,AOC/AOP,Blanc,Loire
Syrah noir,Languedoc Quatourze rosé,AOC/AOP,Rosé,Languedoc-roussillon
Chardonnay blanc,Meursault premier cru Charmes blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Côtes de Millau rosé,AOC/AOP,Rosé,Sud-ouest
Ugni blanc,Côtes de Provence blanc,AOC/AOP,Blanc,Provence-corse
Pinot noir,Chassagne-Montrachet premier cru Les Petites Fairendes rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Languedoc Grès de Montpellier,AOC/AOP,Rouge,Languedoc-roussillon
Pinot noir,Champagne rosé,AOC/AOP,Rosé,Champagne
Pinot noir,Pays d'Oc gris de gris mousseux,IGP,Gris,Languedoc-roussillon
Pinot noir,Vin de Savoie rosé,AOC/AOP,Rosé,Savoie bugey
Grenache noir,Maury tuilé hors d'âge,AOC/AOP,Tuilé,Languedoc-roussillon
Cabernet-Franc noir,Béarn rouge,AOC/AOP,Rouge,Sud-ouest
Merlot noir,Pays d'Oc rouge de raisins surmûris,IGP,Rouge,Languedoc-roussillon
Grenache noir,Banyuls grand cru rancio hors d'âge,AOC/AOP,Rancio,Languedoc-roussillon
Chenin blanc,Coteaux du Layon,AOC/AOP,Blanc,Loire
Syrah noir,Sable de Camargue rosé mousseux,IGP,Rosé,Languedoc-roussillon
Chenin blanc,Thézac-Perricard blanc,IGP,Blanc,Sud-ouest
Cabernet-Sauvignon noir,Val de Loire rosé,IGP,Rosé,Loire
Grenache noir,Côtes du Rhône Villages Séguret rosé,AOC/AOP,Rosé,Rhône
Sémillon blanc,Loupiac,AOC/AOP,Blanc,Bordeaux
Syrah noir,Languedoc rosé,AOC/AOP,Rosé,Languedoc-roussillon
Chardonnay blanc,Beaune premier cru Montée Rouge blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Saint-Aubin premier cru Sur Gamay rouge,AOC/AOP,Rouge,Bourgogne
Chenin blanc,Saumur mousseux blanc,AOC/AOP,Blanc,Loire
Gamay noir,Lavilledieu Rosé,IGP,Rosé,Sud-ouest
Gamay noir,Mâcon Pierreclos rosé,AOC/AOP,Rosé,Bourgogne
Pinot noir,Givry premier cru Clos de la Baraude rouge,AOC/AOP,Rouge,Bourgogne
Chenin blanc,Touraine Mesland blanc,AOC/AOP,Blanc,Loire
Gamay noir,Beaujolais Rivolet rosé,AOC/AOP,Rosé,Beaujolais
Grenache noir,Languedoc Pic-Saint-Loup rosé,AOC/AOP,Rosé,Languedoc-roussillon
Syrah noir,Sable de Camargue rouge mousseux,IGP,Rouge,Languedoc-roussillon
Pinot noir,Haute Vallée de l'Aude rouge,IGP,Rouge,Languedoc-roussillon
Carignan noir,Sable de Camargue gris de gris sur lie,IGP,Gris,Languedoc-roussillon
Gamay noir,Beaujolais Marchampt rosé,AOC/AOP,Rosé,Beaujolais
Merlot noir,Agenais rouge,IGP,Rouge,Sud-ouest
Pinot noir,Saint-Aubin premier cru En Remilly rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Languedoc Saint-Saturnin rosé,AOC/AOP,Rosé,Languedoc-roussillon
Gamay noir,Beaujolais Charentay rouge nouveau,AOC/AOP,Rouge,Beaujolais
Pinot noir,Bourgogne Passe-tout-grains rosé,AOC/AOP,Rosé,Bourgogne
Pinot noir,Crémant de Loire rosé,AOC/AOP,Rosé,Loire
Pinot noir,Meursault premier cru Les Caillerets rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Fiefs Vendéens Brem rosé,AOC/AOP,Rosé,Loire
Grenache noir,Maury tuilé rancio hors d'âge,AOC/AOP,Rancio,Languedoc-roussillon
Pinot noir,Pays d'Oc rouge nouveau,IGP,Rouge,Languedoc-roussillon
Chardonnay blanc,Meursault premier cru Sous Blagny blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Côtes du Lot rouge,IGP,Rouge,Sud-ouest
Chardonnay blanc,Côte de Beaune blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Bourgogne Le Chapitre rouge,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Barsac,AOC/AOP,Blanc,Bordeaux
Sémillon blanc,Bordeaux Haut-Benauge avec sucres,AOC/AOP,Blanc,Bordeaux
Chardonnay blanc,Mâcon Fuissé blanc nouveau,AOC/AOP,Blanc,Bourgogne
Gamay noir,Beaujolais Marchampt rouge nouveau,AOC/AOP,Rouge,Beaujolais
Pinot noir,Givry premier cru La Petite Berge rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Lirac rosé,AOC/AOP,Rosé,Rhône
Gamay noir,Mâcon Davayé rosé,AOC/AOP,Rosé,Bourgogne
Pinot noir,Volnay premier cru Clos de la Bousse-d'Or,AOC/AOP,Rouge,Bourgogne
Pinot noir,Nuits-Saint-Georges premier cru Clos des Grandes Vignes rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru La Cardeuse blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Mercurey premier cru Clos des Barraults blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Pouilly-Fuissé le clos de monsieur noly,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Mercurey premier cru Grand Clos Fortoul blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru Les Grands Clos blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Agenais Rosé Mousseux,IGP,Rosé,Sud-ouest
Chardonnay blanc,Chassagne-Montrachet premier cru Les Chaumes blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Beaujolais Denicé rouge,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Savigny-lès-Beaune premier cru Les Hauts Jarrons blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Vins de la Corrèze rouge,IGP,Rouge,Sud-ouest
Gamay noir,Mâcon Charnay-lès-Mâcon rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Nuits-Saint-Georges premier cru En la Perrière Noblot rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Rosé d'Anjou nouveau,AOC/AOP,Rosé,Loire
Grenache noir,Grand Roussillon rosé,AOC/AOP,Rosé,Languedoc-roussillon
Gamay noir,Beaujolais Saint-Etienne-la-Varenne rosé nouveau,AOC/AOP,Rosé,Beaujolais
Syrah noir,Côtes de Provence Sainte-Victoire rouge,AOC/AOP,Rouge,Provence-corse
Chardonnay blanc,Aloxe-Corton premier cru Les Paulands blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Bourgogne Hautes Côtes de Beaune rosé,AOC/AOP,Rosé,Bourgogne
Chardonnay blanc,Givry premier cru Les Grands Prétans blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Beaujolais Jullié rouge,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Beaune premier cru Les Toussaints blanc,AOC/AOP,Blanc,Bourgogne
Merlot noir,Pessac-Léognan rouge,AOC/AOP,Rouge,Bordeaux
Pinot noir,Monthélie premier cru Les Riottes rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Sauvignon noir,Pineau des Charentes blanc,AOC/AOP,Blanc,Cognac
Chardonnay blanc,Périgord blanc,IGP,Blanc,Bordeaux
Grenache noir,Fitou,AOC/AOP,Rouge,Languedoc-roussillon
Sémillon blanc,Montravel blanc,AOC/AOP,Blanc,Sud-ouest
Merlot noir,Côtes du Lot rouge,IGP,Rouge,Sud-ouest
Colombard blanc,Côtes du Lot blanc,IGP,Blanc,Sud-ouest
Chardonnay blanc,Nuits-Saint-Georges premier cru Château Gris blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Morey-Saint-Denis premier cru Côte Rotie rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Pernand-Vergelesses premier cru Village de Pernand blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Meursault premier cru Les Santenots Blancs rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Sable de Camargue rouge,IGP,Rouge,Languedoc-roussillon
Sémillon blanc,Sainte-Foy-Bordeaux blanc,AOC/AOP,Blanc,Bordeaux
Sauvignon blanc,Sainte-Foy-Bordeaux blanc moelleux,AOC/AOP,Blanc,Bordeaux
Chardonnay blanc,Monthélie premier cru blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Aloxe-Corton premier cru Les Guérets rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Val de Loire rouge,IGP,Rouge,Loire
Chardonnay blanc,Mâcon Péronne blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Puligny-Montrachet premier cru Le Cailleret blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Juliénas,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Sable de Camargue blanc,IGP,Blanc,Languedoc-roussillon
Gamay noir,Saint-Pourçain rouge,AOC/AOP,Rouge,Loire
Gamay noir,Anjou mousseux rosé,AOC/AOP,Rosé,Loire
Chardonnay blanc,Chablis premier cru Chapelot,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Vougeot premier cru blanc,AOC/AOP,Blanc,Bourgogne
Syrah noir,Aveyron rouge,IGP,Rouge,Sud-ouest
Chardonnay blanc,Pouilly-Fuissé le clos reyssié,AOC/AOP,Blanc,Bourgogne
Pinot noir,Morey-Saint-Denis premier cru Aux Charmes rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Beaujolais Les Ardillats rosé nouveau,AOC/AOP,Rosé,Beaujolais
Chenin blanc,Haute-Vienne blanc,IGP,Blanc,Loire
Cabernet-Franc noir,Périgord Vin de Domme rouge,IGP,Rouge,Bordeaux
Gamay noir,Châtillon-en-Diois rouge,AOC/AOP,Rouge,Rhône
Pinot noir,Ariège rouge,IGP,Rouge,Languedoc-roussillon
Pinot noir,Chassagne-Montrachet premier cru Les Boirettes rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Rully premier cru Cloux blanc,AOC/AOP,Blanc,Bourgogne
Merlot noir,Côtes du Marmandais rosé,AOC/AOP,Rosé,Sud-ouest
Chardonnay blanc,Givry premier cru Crémillons blanc,AOC/AOP,Blanc,Bourgogne
Sémillon blanc,Atlantique blanc,IGP,Blanc,Bordeaux
Cabernet-Sauvignon noir,Pays d'Oc rouge de raisins surmûris,IGP,Rouge,Languedoc-roussillon
Merlot noir,Haute-Marne rosé,IGP,Rosé,Champagne
Chardonnay blanc,Chassagne-Montrachet premier cru Les Combards blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Nuits-Saint-Georges premier cru Aux Cras rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Beaune premier cru Les Fèves blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Nuits-Saint-Georges premier cru Château Gris rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Sauvignon noir,Bordeaux rosé,AOC/AOP,Rosé,Bordeaux
Pinot noir,Puligny-Montrachet premier cru Clavaillon rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Chassagne-Montrachet premier cru En Virondot rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Nuits-Saint-Georges premier cru Aux Perdrix rouge,AOC/AOP,Rouge,Bourgogne
Chenin blanc,Quarts de Chaume,AOC/AOP,Blanc,Loire
Chardonnay blanc,Aloxe-Corton premier cru La Toppe au Vert blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Côtes de Bordeaux Blaye rouge,AOC,Rouge,Bordeaux
Gamay noir,Beaujolais Quincié-en-Beaujolais rosé,AOC/AOP,Rosé,Beaujolais
Chardonnay blanc,Chassagne-Montrachet premier cru Les Brussonnes blanc,AOC/AOP,Blanc,Bourgogne
Syrah noir,Collioure rouge,AOC/AOP,Rouge,Languedoc-roussillon
Chardonnay blanc,Mercurey premier cru Sazenay blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Savigny-lès-Beaune premier cru Champ Chevrey rouge,AOC/AOP,Rouge,Bourgogne
Merlot noir,Bordeaux rouge,AOC/AOP,Rouge,Bordeaux
Grenache noir,Côtes du Rhône Villages Saint-Maurice rouge,AOC/AOP,Rouge,Rhône
Pinot noir,Savigny-lès-Beaune premier cru Aux Fourneaux rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Aloxe-Corton premier cru Les Petites Folières blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Beaujolais Quincié-en-Beaujolais blanc,AOC/AOP,Blanc,Beaujolais
Chardonnay blanc,Meursault premier cru Les Plures blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Chablis premier cru Chatains,AOC/AOP,Blanc,Bourgogne
Pinot noir,Chambolle-Musigny,AOC/AOP,Rouge,Bourgogne
Cabernet-Sauvignon noir,Cabardès rosé,AOC/AOP,Rosé,Languedoc-roussillon
Syrah noir,Les Baux de Provence rouge,AOC/AOP,Rouge,Provence-corse
Gamay noir,Valençay rosé,AOC/AOP,Rosé,Loire
Carignan noir,Ventoux nouveau rosé,AOC/AOP,Rosé,Rhône
Sémillon blanc,Pays d'Oc blanc,IGP,Blanc,Languedoc-roussillon
Chardonnay blanc,Beaujolais Blacé blanc,AOC/AOP,Blanc,Beaujolais
Syrah noir,Châteauneuf-du-Pape blanc,AOC/AOP,Blanc,Rhône
Syrah noir,Côtes de Provence rouge,AOC/AOP,Rouge,Provence-corse
Chardonnay blanc,Meursault premier cru Perrières blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Nuits-Saint-Georges premier cru Aux Cras blanc,AOC/AOP,Blanc,Bourgogne
Sauvignon blanc,Saumur mousseux blanc,AOC/AOP,Blanc,Loire
Pinot noir,Aloxe-Corton premier cru Clos du Chapitre rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Floc de Gascogne rosé,AOC/AOP,Rosé,Armagnac
Gamay noir,Côtes de Toul gris,AOC/AOP,Gris,Lorraine
Cabernet-Franc noir,Rosé d'Anjou,AOC/AOP,Rosé,Loire
Chardonnay blanc,Chassagne-Montrachet premier cru Tête du Clos blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Coteaux Bourguignons rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Marsannay rosé,AOC/AOP,Rosé,Bourgogne
Chardonnay blanc,Montagny premier cru Le Vieux Château,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Monthélie premier cru Le Meix Bataille blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Palette rosé,AOC/AOP,Rosé,Provence-corse
Chardonnay blanc,Pouilly-Vinzelles les longeays,AOC/AOP,Blanc,Bourgogne
Syrah noir,Saint-Joseph rouge,AOC/AOP,Rouge,Rhône
Colombard blanc,Atlantique blanc,IGP,Blanc,Bordeaux
Pinot noir,Blagny premier cru,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Beaune premier cru Pertuisots blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Touraine Noble Joué,AOC/AOP,Rosé,Loire
Gamay noir,Puy-de-Dôme rouge,IGP,Rouge,Loire
Chardonnay blanc,Savigny-lès-Beaune premier cru Redrescul blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Chassagne-Montrachet premier cru Les Petits Clos blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Beaujolais Saint-Julien rosé nouveau,AOC/AOP,Rosé,Beaujolais
Pinot noir,Gevrey-Chambertin premier cru Les Corbeaux,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Champagne grand cru,AOC/AOP,Blanc,Champagne
Pinot noir,Vosne-Romanée premier cru Les Rouges,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Beaujolais Vaux-en-Beaujolais blanc,AOC/AOP,Blanc,Beaujolais
Merlot noir,Côtes du Marmandais rouge,AOC/AOP,Rouge,Sud-ouest
Gamay noir,Haute-Marne rosé,IGP,Rosé,Champagne
Gamay noir,Saône-et-Loire blanc,IGP,Blanc,Bourgogne
Chardonnay blanc,Meursault premier cru Genevrières blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Givry premier cru Clos du Vernoy blanc,AOC/AOP,Blanc,Bourgogne
Gamay noir,Pays d'Oc rosé nouveau,IGP,Rosé,Languedoc-roussillon
Pinot noir,Savigny-lès-Beaune premier cru Les Vergelesses rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Ventoux rouge,AOC/AOP,Rouge,Rhône
Cabernet-Sauvignon noir,Touraine Amboise rouge,AOC/AOP,Rouge,Loire
Chardonnay blanc,Beaujolais Lantignié blanc,AOC/AOP,Blanc,Beaujolais
Pinot noir,Morey-Saint-Denis premier cru Les Sorbès rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Languedoc nouveau rosé,AOC/AOP,Rosé,Languedoc-roussillon
Pinot noir,Puligny-Montrachet premier cru Les Folatières rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Franc noir,Cabernet de Saumur,AOC/AOP,Rosé,Loire
Gamay noir,Beaujolais Saint-Symphorien-d'Ancelles rosé,AOC/AOP,Rosé,Beaujolais
Grenache noir,Vin de Corse Calvi rosé,AOC/AOP,Rosé,Provence-corse
Merlot noir,Vins de la Corrèze rouge,IGP,Rouge,Sud-ouest
Cabernet-Franc noir,Cabardès rosé,AOC/AOP,Rosé,Languedoc-roussillon
Grenache noir,Rasteau tuilé hors d'âge,AOC/AOP,Tuilé,Rhône
Cabernet-Franc noir,Saint-Estèphe,AOC/AOP,Rouge,Bordeaux
Chardonnay blanc,Beaune premier cru Les Avaux blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Mercurey premier cru Clos des Myglands blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Mâcon Chardonnay blanc nouveau,AOC/AOP,Blanc,Bourgogne
Pinot noir,Bourgogne Epineuil rosé,AOC/AOP,Rosé,Bourgogne
Gamay noir,Touraine Amboise rosé,AOC/AOP,Rosé,Loire
Cabernet-Franc noir,Anjou Villages Brissac,AOC/AOP,Rouge,Loire
Gamay noir,Périgord Vin de Domme rosé,IGP,Rouge,Bordeaux
Sauvignon blanc,Vins de la Corrèze blanc,IGP,Blanc,Sud-ouest
Chardonnay blanc,Meursault premier cru Les Santenots du Milieu blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Montagny premier cru Les Beaux Champs,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Viré-Clessé l'épinet,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Puisseguin-Saint-Emilion,AOC/AOP,Rouge,Bordeaux
Chardonnay blanc,Nuits-Saint-Georges premier cru Les Pruliers blanc,AOC/AOP,Blanc,Bourgogne
Carignan noir,Périgord rosé,IGP,Rosé,Bordeaux
Gamay noir,Beaujolais Romanèche-Thorins rouge,AOC/AOP,Rouge,Beaujolais
Chardonnay blanc,Givry premier cru Les Galaffres blanc,AOC/AOP,Blanc,Bourgogne
Cabernet-Franc noir,Cabernet d'Anjou nouveau,AOC/AOP,Rosé,Loire
Chardonnay blanc,Viré-Clessé,AOC/AOP,Blanc,Bourgogne
Pinot noir,Meursault premier cru Les Plures rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Pouilly-Vinzelles les buchardières,AOC/AOP,Blanc,Bourgogne
Gamay noir,Bugey rouge Gamay,AOC/AOP,Rouge,Savoie bugey
Pinot noir,Nuits-Saint-Georges premier cru Les Hauts Pruliers rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Bugey rouge,AOC/AOP,Rouge,Savoie bugey
Merlot noir,Coteaux de l'Auxois rouge,IGP,Rouge,Bourgogne
Grenache noir,Rasteau grenat,AOC/AOP,Grenat,Rhône
Chardonnay blanc,Maranges premier cru Clos de la Boutière blanc,AOC/AOP,Blanc,Bourgogne
Sauvignon blanc,Côtes du Tarn Blanc Surmûri,IGP,Blanc,Sud-ouest
Pinot noir,Macvin du Jura rouge,AOC/AOP,Rouge,Jura
Gamay noir,Fiefs Vendéens Vix rosé,AOC/AOP,Rosé,Loire
Gamay noir,Pays d'Oc gris de gris,IGP,Gris,Languedoc-roussillon
Chardonnay blanc,Morey-Saint-Denis premier cru Clos des Ormes blanc,AOC/AOP,Blanc,Bourgogne
Sauvignon blanc,Sancerre blanc,AOC/AOP,Blanc,Loire
Chardonnay blanc,Montagny premier cru Les Jardins,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Pernand-Vergelesses premier cru En Caradeux blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Beaune premier cru En l'Orme rouge,AOC/AOP,Rouge,Bourgogne
Chenin blanc,Pays d'Oc blanc sur lie,IGP,Blanc,Languedoc-roussillon
Gamay noir,Mâcon Saint-Gengoux-le-National rosé,AOC/AOP,Rosé,Bourgogne
Pinot noir,Nuits-Saint-Georges premier cru Les Vallerots rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Sable de Camargue rosé,IGP,Rosé,Languedoc-roussillon
Chardonnay blanc,Chablis Grand Cru Les Clos,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Sable de Camargue rosé nouveau,IGP,Rosé,Languedoc-roussillon
Pinot noir,Puligny-Montrachet premier cru Les Referts rouge,AOC/AOP,Rouge,Bourgogne
Sauvignon blanc,Sainte-Foy-Bordeaux blanc liquoreux,AOC/AOP,Blanc,Bordeaux
Merlot noir,Pays d'Oc gris de raisins gris surmûris,IGP,Gris,Languedoc-roussillon
Chardonnay blanc,Crémant du Jura blanc,AOC/AOP,Blanc,Jura
Pinot noir,Aloxe-Corton premier cru La Maréchaude rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Gevrey-Chambertin premier cru Fonteny,AOC/AOP,Rouge,Bourgogne
Pinot noir,Corton rouge,AOC/AOP,Rouge,Bourgogne
Colombard blanc,Pays d'Oc blanc,IGP,Blanc,Languedoc-roussillon
Chardonnay blanc,Nuits-Saint-Georges premier cru Clos des Corvées blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Crémant de Limoux rosé,AOC/AOP,Rosé,Languedoc-roussillon
Pinot noir,Saint-Aubin premier cru Les Murgers des dents de chien rouge,AOC/AOP,Rouge,Bourgogne
Cabernet-Sauvignon noir,Pineau des Charentes rouge,AOC/AOP,Rosé,Cognac
Pinot noir,Clos des Lambrays,AOC/AOP,Rouge,Bourgogne
Ugni blanc,Sable de Camargue blanc sur lie,IGP,Blanc,Languedoc-roussillon
Cabernet-Sauvignon noir,Pays d'Oc rosé mousseux,IGP,Rosé,Languedoc-roussillon
Gamay noir,Beaujolais La Chapelle-de-Guinchay rosé,AOC/AOP,Rosé,Beaujolais
Cabernet-Franc noir,Côtes de Duras rouge,AOC/AOP,Rouge,Sud-ouest
Pinot noir,Santenay premier cru Grand Clos Rousseau rouge,AOC/AOP,Rouge,Bourgogne
Grenache noir,Pays d'Oc rouge de raisins surmûris,IGP,Rouge,Languedoc-roussillon
Cabernet-Sauvignon noir,Périgord Vin de Domme rosé,IGP,Rouge,Bordeaux
Pinot noir,Saint-Pourçain rouge,AOC/AOP,Rouge,Loire
Merlot noir,Listrac-Médoc,AOC/AOP,Rouge,Bordeaux
Cabernet-Franc noir,Bergerac rosé,AOC/AOP,Rosé,Sud-ouest
Pinot noir,Beaune premier cru Les Teurons rouge,AOC/AOP,Rouge,Bourgogne
Chardonnay blanc,Mâcon Davayé blanc,AOC/AOP,Blanc,Bourgogne
Pinot noir,Puligny-Montrachet premier cru Les Perrières rouge,AOC/AOP,Rouge,Bourgogne
Gamay noir,Mâcon Bray rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Saint-Aubin premier cru Marinot rouge,AOC/AOP,Rouge,Bourgogne
Pinot noir,Mercurey premier cru rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Crozes-Hermitage rouge,AOC/AOP,Rouge,Rhône
Cabernet-Sauvignon noir,Rosé d'Anjou nouveau,AOC/AOP,Rosé,Loire
Carignan noir,Côtes du Tarn rosé,IGP,Rosé,Sud-ouest
Syrah noir,Côtes du Roussillon nouveau rosé,AOC/AOP,Rosé,Languedoc-roussillon
Pinot noir,Ladoix premier cru Basses Mourottes rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Faugères rosé,AOC/AOP,Rosé,Languedoc-roussillon
Gamay noir,Pays d'Oc gris,IGP,Gris,Languedoc-roussillon
Cabernet-Sauvignon noir,Saint-Emilion,AOC/AOP,Rouge,Bordeaux
Chardonnay blanc,Haute-Marne blanc,IGP,Blanc,Champagne
Syrah noir,Faugères rouge,AOC/AOP,Rouge,Languedoc-roussillon
Chardonnay blanc,Pouilly-Fuissé,AOC/AOP,Blanc,Bourgogne
Cabernet-Sauvignon noir,Bordeaux clairet,AOC/AOP,Clairet,Bordeaux
Cabernet-Sauvignon noir,Puisseguin-Saint-Emilion,AOC/AOP,Rouge,Bordeaux
Chardonnay blanc,Monthélie premier cru Le Village blanc,AOC/AOP,Blanc,Bourgogne
Sauvignon blanc,Pays d'Oc blanc nouveau,IGP,Blanc,Languedoc-roussillon
Sauvignon blanc,Côtes de Bordeaux Francs blanc sec,AOC,Blanc,Bordeaux
Chardonnay blanc,Meursault premier cru La Jeunellotte blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Beaune premier cru Les Marconnets blanc,AOC/AOP,Blanc,Bourgogne
Grenache noir,Lirac rouge,AOC/AOP,Rouge,Rhône
Chardonnay blanc,Chassagne-Montrachet premier cru La Grande Borne blanc,AOC/AOP,Blanc,Bourgogne
Chardonnay blanc,Beaujolais Charentay blanc,AOC/AOP,Blanc,Beaujolais
Pinot noir,Chassagne-Montrachet premier cru Francemont rouge,AOC/AOP,Rouge,Bourgogne
Syrah noir,Côtes du Tarn rosé,IGP,Rosé,Sud-ouest
