Interet,Email,Sexe,Age,Acti.,Famil.,CodeP.,AmourVin,Orga.,Particip.,Atti_Choix,Atti_Date,Atti_Paie.,Atti_Guide,Atti_VR,Atti_Jeux,Atti_Profil,Atti_Photo,Atti_Support,Util_Choix,Util_Date,Util_Paie.,Util_Guide,Util_VR,Util_Jeux,Util_Profil,Util_Photo,Util_Support,Ob_Choix,Ob_Prix,Ob_Rebours.,Ob_Inconnu,Ob_TropFormel,Ob_Plaise,Ob_QuantiVin,Ob_Diversi.,Ob_Mener,Ob_Orga.,Ob_Materiel,At_BonMoment,At_MoinsCher,At_QualiVin,At_DiversiVin,At_MoinsFormel,At_ToutPublic,At_Decouvrir,At_ApprendreChoisir,At_MetVin,At_LibreDeroul.,At_Storytelling
4,2,1,31,3,4,19109,3,0,1,4,5,5,4,4,5,4,5,4,5,5,5,3,4,4,4,3,3,4,3,3,2,3,4,4,2,5,2,4,5,4,5,5,2,4,5,5,4,2,5
4,1,1,37,3,4,31470,2,0,0,4,4,4,4,4,4,5,4,1,4,4,4,4,4,4,4,4,1,3,2,4,3,3,3,3,4,2,3,1,4,3,4,3,4,3,4,5,2,4,4
3,0,2,50,3,3,31779,2,1,0,4,5,5,4,3,3,2,3,2,5,5,5,4,3,3,4,3,4,3,4,2,1,2,4,1,1,5,5,3,5,2,4,1,3,1,5,4,5,3,5
5,1,1,28,3,3,31770,3,1,1,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,2,3,3,3,,,,,,,,,,,
2,0,2,27,3,4,31470,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
3,0,1,39,3,1,35000,2,0,1,2,2,3,4,4,4,5,4,4,4,3,4,4,5,5,5,4,4,1,2,3,3,3,3,1,1,2,3,1,5,3,5,4,5,4,4,4,5,4,2
4,0,2,22,2,3,31470,2,0,0,4,5,5,4,3,2,5,2,4,4,5,5,5,3,2,4,2,3,4,4,2,5,2,4,4,4,1,2,4,5,4,4,4,3,4,4,4,5,3,3
4,0,2,28,3,3,69170,2,0,0,4,4,5,5,4,5,5,5,4,4,4,3,5,4,5,5,3,3,5,1,1,3,3,3,2,2,3,3,1,5,1,5,4,4,4,5,5,3,3,4
2,0,1,35,3,4,,2,0,0,4,3,3,3,1,2,3,1,1,3,4,3,3,1,2,4,1,1,1,2,1,2,3,4,3,3,2,3,4,5,2,5,5,4,3,5,5,4,3,5
4,0,2,27,3,1,31200,2,0,0,5,4,5,5,3,4,5,3,3,4,5,5,5,3,3,5,2,5,2,4,4,1,1,2,4,3,5,2,5,5,4,3,4,5,5,5,5,3,4,4
3,0,2,28,3,3,75018,3,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,4,4,4,4,4,4,4,3,4,2,4
3,0,2,30,3,1,31870,2,0,0,4,5,4,4,2,4,5,3,2,4,4,4,4,2,3,5,3,3,3,3,3,3,5,4,2,2,4,2,4,5,4,4,3,4,5,5,4,5,4,3
5,2,1,32,1,4,75017,3,1,1,4,2,4,5,2,4,5,1,2,4,3,5,5,2,4,5,1,3,1,2,2,1,2,3,1,4,5,5,4,5,2,4,5,2,4,5,5,4,2,5
3,0,2,29,3,4,30132,2,0,0,4,5,5,2,3,4,4,4,4,2,5,3,1,1,3,3,3,1,4,2,3,3,5,3,5,2,5,3,5,3,2,2,2,3,3,3,3,3,2,2
4,1,1,65,1,3,77290,2,0,0,4,5,3,4,3,3,4,5,4,4,5,4,3,3,3,4,4,3,5,5,5,1,1,4,4,5,4,4,4,5,5,5,5,3,5,5,4,4,3,5
2,0,2,29,3,3,31830,2,0,1,5,4,4,4,5,2,5,2,4,5,4,2,4,4,1,4,1,2,2,2,1,3,4,5,5,2,5,1,2,5,2,5,3,4,3,5,4,3,2,3
5,0,1,23,3,4,31470,2,0,0,4,4,5,5,5,5,3,5,5,4,4,5,5,5,4,4,4,3,1,3,2,2,4,5,1,4,1,3,3,5,3,5,5,3,5,5,5,5,4,4
3,0,1,27,1,4,66600,3,0,0,3,4,3,3,2,3,4,2,2,4,4,4,4,2,3,4,2,3,2,2,2,1,2,1,3,1,3,3,3,4,2,3,2,3,3,5,4,3,4,4
4,0,1,27,3,3,85600,3,1,1,4,4,3,3,2,3,3,2,1,4,4,3,3,3,4,3,3,2,5,3,3,3,2,2,1,2,3,3,2,4,2,4,3,3,4,4,4,3,3,4
4,0,2,24,2,1,93000,3,0,0,4,5,5,5,3,4,4,3,2,5,5,5,5,2,4,5,1,1,1,4,4,1,2,1,2,1,1,1,3,4,2,5,3,2,5,4,4,3,2,4
2,0,1,29,1,1,31700,3,0,0,4,4,3,3,1,3,3,1,3,4,4,4,4,2,4,4,3,3,1,1,1,1,1,1,1,2,1,1,1,4,3,4,4,3,4,3,2,3,3,3
5,0,2,25,3,3,31120,3,0,,5,5,5,5,2,5,5,2,2,5,5,5,5,1,5,5,1,1,4,3,5,5,1,5,4,5,1,1,5,,,,,,,,,,,
3,0,1,26,3,1,75010,2,1,0,4,4,4,4,2,3,3,1,2,2,4,3,4,2,3,3,1,3,1,3,1,4,1,1,1,1,4,1,2,,,,,,,,,,,
4,1,1,32,3,3,77600,3,0,0,3,2,3,3,1,3,4,2,3,4,4,3,4,2,3,4,1,4,4,3,2,1,1,3,2,,4,3,1,5,2,4,3,2,4,4,3,4,4,3
2,0,1,40,3,1,43000,3,0,0,5,5,5,1,1,5,3,1,1,,,,,,,,,,1,1,,1,2,1,3,,4,5,4,5,1,5,4,4,5,4,5,5,3,4
3,0,2,31,3,3,31700,3,0,0,5,5,5,5,3,3,5,1,5,5,5,5,5,4,1,5,1,5,3,2,2,5,4,5,5,5,5,1,5,5,5,5,5,5,5,5,2,5,5,2
4,0,1,39,3,4,1040,2,0,0,3,3,5,5,1,3,5,1,5,1,2,2,3,1,2,3,1,2,4,3,1,1,1,4,3,5,5,5,3,5,2,4,3,3,5,5,5,1,1,4
4,0,2,25,3,3,31300,3,0,0,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,2,4,4,4,5,3,3,3,2,4,4,3,4,5,4,4,4,5,4,4,4,3,4,3
4,0,1,30,3,3,76014,2,0,0,3,4,4,4,2,4,4,2,3,4,4,4,4,2,3,5,2,4,4,3,1,5,2,4,1,3,2,4,2,3,2,4,4,4,5,4,4,3,4,2
4,0,2,23,2,1,75013,2,0,0,4,4,5,4,2,5,4,2,2,4,4,4,4,2,4,4,2,2,3,3,4,1,4,3,3,4,4,1,2,4,2,3,4,3,2,4,4,2,3,4
5,1,2,32,3,3,75015,3,1,0,5,3,4,4,5,4,5,1,,5,3,4,4,5,5,5,1,,3,1,3,3,2,3,5,4,1,1,2,4,4,3,3,4,5,4,5,3,4,4
5,1,1,33,3,3,34170,2,0,0,5,5,4,5,4,4,4,4,4,5,5,5,5,3,3,5,3,3,2,4,3,3,4,4,4,5,4,3,5,5,4,4,4,4,4,4,4,5,3,5
3,0,1,37,3,4,21000,1,0,0,3,2,3,4,3,2,4,2,2,4,3,3,4,3,3,4,2,2,2,3,3,1,4,4,3,3,5,5,3,4,2,2,3,4,2,2,4,4,2,3
4,1,1,28,3,1,75012,2,0,0,4,4,4,5,2,3,4,2,3,4,4,3,5,2,2,4,1,2,3,3,2,4,2,3,2,3,1,1,3,5,3,3,3,4,5,4,4,2,4,4
5,1,1,32,3,3,97460,3,0,0,4,4,4,5,3,4,4,2,3,4,5,5,5,3,4,5,2,2,4,3,1,1,1,1,3,4,1,4,2,5,2,5,5,1,2,5,4,4,2,4
5,2,2,34,3,1,31290,3,0,0,3,2,3,4,4,4,5,2,3,4,3,2,4,3,4,4,1,4,2,2,1,1,1,3,3,3,4,1,1,5,2,3,2,3,3,3,4,3,4,4
5,2,1,34,3,4,31400,2,1,0,3,5,5,5,5,5,3,3,5,4,5,5,5,5,5,5,2,5,4,4,4,2,3,3,4,3,4,4,4,4,2,4,4,4,3,5,3,5,3,4
4,0,1,35,3,1,8055,3,1,1,3,4,3,4,4,4,3,3,3,4,4,4,4,3,4,4,2,2,5,3,4,5,4,4,4,4,4,4,4,4,5,4,3,2,4,4,4,3,2,2
5,1,1,28,3,3,75017,3,0,0,5,5,5,5,3,5,3,5,3,4,5,5,5,1,1,1,1,1,5,5,4,2,5,3,4,4,5,5,5,4,4,4,4,5,5,5,5,2,5,2
5,1,1,26,3,3,93110,2,0,0,5,4,4,5,4,4,5,3,4,5,5,4,4,3,3,4,3,4,2,4,3,1,3,4,5,4,3,1,3,5,3,4,4,5,5,5,4,3,5,4
4,1,1,30,3,3,31200,2,0,0,4,5,4,4,3,4,3,2,2,4,5,5,4,3,2,3,2,2,5,3,4,2,5,5,4,3,2,3,4,5,3,3,3,4,4,3,4,4,5,3
4,0,2,27,3,3,75010,3,0,0,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,3,3,3,2,4,3,3,4,4,4,4,4,4,4,4,5,3,3
5,2,1,32,3,4,31500,3,0,0,3,4,5,5,5,4,5,3,4,2,4,5,5,5,4,5,2,3,2,3,4,1,4,3,,4,3,2,4,5,2,3,3,4,3,5,3,4,4,4
4,0,2,33,3,4,31500,1,0,0,5,5,5,4,2,3,4,3,2,4,5,5,2,1,2,4,1,2,3,1,1,1,1,3,1,4,2,2,2,4,4,4,4,2,4,4,5,3,4,4
4,0,2,28,3,3,31240,2,0,0,5,5,5,5,2,5,3,5,3,4,5,5,3,3,5,3,5,3,2,2,2,1,2,2,4,3,2,3,1,5,2,3,4,4,5,4,4,4,3,2
4,0,1,28,3,3,6000,3,0,0,4,4,4,4,4,3,4,2,3,3,4,4,4,3,3,4,2,4,4,4,4,3,1,4,4,5,3,4,4,5,1,5,4,4,4,4,5,3,4,3
4,0,2,28,3,3,77185,2,0,0,4,5,4,5,4,5,5,3,4,4,4,4,4,4,5,5,3,3,5,3,3,2,1,5,4,4,1,4,3,5,4,4,4,4,4,4,4,5,5,4
4,0,2,33,3,3,31000,3,0,0,3,4,4,4,2,2,4,3,3,4,4,5,5,2,2,4,2,4,1,3,3,3,2,1,1,2,1,2,2,4,3,4,5,3,4,5,4,4,3,4
4,0,1,27,3,1,78955,2,0,0,3,4,4,5,3,3,5,2,4,2,4,4,5,3,3,5,2,3,4,4,3,4,3,2,3,5,2,2,1,5,4,3,4,5,3,5,4,3,3,2
3,2,2,39,3,4,31820,1,0,0,4,4,4,4,2,4,4,1,1,4,4,4,4,1,1,4,1,2,3,1,3,4,5,3,1,4,1,1,4,5,3,5,4,5,5,5,4,4,5,5
4,2,2,30,3,4,32130,2,0,0,5,5,4,5,3,5,4,2,3,5,5,4,5,3,5,4,1,3,2,4,3,3,2,2,2,5,5,5,4,5,4,3,4,4,5,5,5,5,3,4
4,2,2,31,3,4,31490,2,0,0,3,4,4,5,3,4,4,4,3,4,5,5,5,3,4,5,4,4,2,2,2,2,4,2,4,3,3,1,3,5,4,3,3,4,4,4,4,4,3,4
3,0,1,35,3,3,11000,3,0,0,5,5,2,2,2,3,1,1,1,3,5,1,3,2,3,1,1,1,3,3,1,1,3,2,2,3,5,5,3,5,2,5,4,1,3,4,3,4,3,4
3,0,1,35,3,3,11000,3,0,0,5,5,2,2,2,3,1,1,1,3,5,1,3,2,3,1,1,1,3,3,1,1,3,2,2,3,5,5,3,5,2,5,4,1,3,4,3,4,3,4
